dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000015,0.003000,0.300000,30.000000,1.571082
0.010000,0.000000,0.000000,0.000075,0.009000,0.600000,30.000000,1.571071
0.010000,0.000000,0.000000,0.000210,0.018000,0.900000,30.000000,1.571048
0.010000,0.000000,0.000000,0.000450,0.030000,1.200000,30.000000,1.571007
0.010000,0.000000,0.000000,0.000825,0.045000,1.500000,30.000000,1.570942
0.010000,0.000000,0.000000,0.001365,0.063000,1.800000,30.000000,1.570848
0.010000,0.000000,0.000433,0.002100,0.084000,2.100000,30.000000,1.570721
0.010000,0.000000,0.001393,0.003060,0.108000,2.400000,30.000000,1.570555
0.010000,0.000001,0.002608,0.004275,0.135000,2.700000,30.000000,1.570345
0.010000,0.000001,0.004108,0.005775,0.165000,3.000000,30.000000,1.570086
0.010000,0.000003,0.005908,0.007575,0.195000,3.000000,-0.000000,1.569774
0.010000,0.000006,0.008008,0.009675,0.225000,3.000000,0.000000,1.569409
0.010000,0.000009,0.010408,0.012075,0.255000,3.000000,0.000000,1.568992
0.010000,0.000015,0.013108,0.014775,0.285000,3.000000,0.000000,1.568523
0.010000,0.000022,0.016108,0.017775,0.315000,3.000000,0.000000,1.568000
0.010000,0.000033,0.019408,0.021075,0.345000,3.000000,-0.000000,1.567424
0.010000,0.000046,0.023008,0.024675,0.375000,3.000000,0.000000,1.566794
0.010000,0.000063,0.026908,0.028575,0.405000,3.000000,0.000000,1.566111
0.010000,0.000084,0.031108,0.032775,0.435000,3.000000,-0.000000,1.565373
0.010000,0.000110,0.035608,0.037275,0.465000,3.000000,0.000000,1.564580
0.010000,0.000142,0.040408,0.042075,0.495000,3.000000,-0.000000,1.563732
0.010000,0.000180,0.045508,0.047175,0.525000,3.000000,0.000000,1.562829
0.010000,0.000226,0.050908,0.052575,0.555000,3.000000,0.000000,1.561870
0.010000,0.000280,0.056607,0.058275,0.585000,3.000000,0.000000,1.560854
0.010000,0.000343,0.062607,0.064275,0.615000,3.000000,0.000000,1.559781
0.010000,0.000416,0.068907,0.070575,0.645000,3.000000,0.000000,1.558651
0.010000,0.000500,0.075506,0.077175,0.675000,3.000000,0.000000,1.557462
0.010000,0.000596,0.082405,0.084075,0.705000,3.000000,0.000000,1.556214
0.010000,0.000706,0.089605,0.091275,0.735000,3.000000,0.000000,1.554907
0.010000,0.000830,0.097104,0.098775,0.765000,3.000000,-0.000000,1.553539
0.010000,0.000970,0.104902,0.106575,0.795000,3.000000,0.000000,1.552110
0.010000,0.001128,0.113001,0.114675,0.825000,3.000000,0.000000,1.550620
0.010000,0.001304,0.121399,0.123075,0.855000,3.000000,0.000000,1.549067
0.010000,0.001500,0.130097,0.131775,0.885000,3.000000,0.000000,1.547450
0.010000,0.001717,0.139094,0.140775,0.915000,3.000000,-0.000000,1.545769
0.010000,0.001958,0.148391,0.150075,0.945000,3.000000,0.000000,1.544023
0.010000,0.002224,0.157987,0.159675,0.975000,3.000000,0.000000,1.542210
0.010000,0.002516,0.167883,0.169575,1.005000,3.000000,0.000000,1.540330
0.010000,0.002837,0.178078,0.179775,1.035000,3.000000,0.000000,1.538381
0.010000,0.003188,0.188572,0.190275,1.065000,3.000000,-0.000000,1.536363
0.010000,0.003571,0.199365,0.201075,1.095000,3.000000,0.000000,1.534274
0.010000,0.003988,0.210458,0.212175,1.125000,3.000000,0.000000,1.532113
0.010000,0.004442,0.221848,0.223575,1.155000,3.000000,0.000000,1.529879
0.010000,0.004934,0.233538,0.235275,1.185000,3.000000,0.000000,1.527571
0.010000,0.005466,0.245526,0.247275,1.215000,3.000000,-0.000000,1.525186
0.010000,0.006042,0.257813,0.259575,1.245000,3.000000,0.000000,1.522724
0.010000,0.006664,0.270397,0.272175,1.275000,3.000000,-0.000000,1.520183
0.010000,0.007333,0.283280,0.285075,1.305000,3.000000,0.000000,1.517562
0.010000,0.008053,0.296460,0.298275,1.335000,3.000000,0.000000,1.514859
0.010000,0.008827,0.309938,0.311775,1.365000,3.000000,-0.000000,1.512072
0.010000,0.009657,0.323713,0.325575,1.395000,3.000000,0.000000,1.509200
0.010000,0.010545,0.337785,0.339675,1.425000,3.000000,-0.000000,1.506241
0.010000,0.011496,0.352154,0.354075,1.455000,3.000000,0.000000,1.503193
0.010000,0.012512,0.366819,0.368775,1.485000,3.000000,-0.000000,1.500053
0.010000,0.013597,0.381779,0.383775,1.515000,3.000000,0.000000,1.496821
0.010000,0.014753,0.397036,0.399075,1.545000,3.000000,-0.000000,1.493494
0.010000,0.015984,0.412587,0.414675,1.575000,3.000000,0.000000,1.490069
0.010000,0.017294,0.428433,0.430575,1.605000,3.000000,-0.000000,1.486545
0.010000,0.018687,0.444573,0.446775,1.635000,3.000000,0.000000,1.482919
0.010000,0.020165,0.461006,0.463275,1.665000,3.000000,-0.000000,1.479189
0.010000,0.021734,0.477733,0.480075,1.695000,3.000000,0.000000,1.475353
0.010000,0.023397,0.494752,0.497175,1.725000,3.000000,-0.000000,1.471407
0.010000,0.025159,0.512063,0.514575,1.755000,3.000000,0.000000,1.467349
0.010000,0.027023,0.529664,0.532275,1.785000,3.000000,0.000000,1.463176
0.010000,0.028995,0.547556,0.550275,1.815000,3.000000,0.000000,1.458886
0.010000,0.031079,0.565737,0.568575,1.845000,3.000000,0.000000,1.454475
0.010000,0.033279,0.584206,0.587175,1.875000,3.000000,0.000000,1.449941
0.010000,0.035601,0.602963,0.606075,1.905000,3.000000,0.000000,1.445280
0.010000,0.038051,0.622006,0.625275,1.935000,3.000000,0.000000,1.440489
0.010000,0.040632,0.641334,0.644775,1.965000,3.000000,0.000000,1.435564
0.010000,0.043351,0.660947,0.664575,1.995000,3.000000,0.000000,1.430503
0.010000,0.046213,0.680842,0.684675,2.025000,3.000000,0.000000,1.425301
0.010000,0.049225,0.701018,0.705075,2.055000,3.000000,-0.000000,1.419954
0.010000,0.052391,0.721475,0.725775,2.085000,3.000000,0.000000,1.414460
0.010000,0.055720,0.742209,0.746775,2.115000,3.000000,-0.000000,1.408813
0.010000,0.059216,0.763220,0.768075,2.145000,3.000000,0.000000,1.403010
0.010000,0.062886,0.784506,0.789675,2.175000,3.000000,-0.000000,1.397046
0.010000,0.066738,0.806065,0.811575,2.205000,3.000000,0.000000,1.390917
0.010000,0.070778,0.827894,0.833775,2.235000,3.000000,-0.000000,1.384620
0.010000,0.075015,0.849991,0.856275,2.265000,3.000000,0.000000,1.378148
0.010000,0.079454,0.872355,0.879075,2.295000,3.000000,-0.000000,1.371497
0.010000,0.084105,0.894982,0.902175,2.325000,3.000000,0.000000,1.364664
0.010000,0.088974,0.917870,0.925575,2.355000,3.000000,-0.000000,1.357641
0.010000,0.094071,0.941015,0.949275,2.385000,3.000000,0.000000,1.350425
0.010000,0.099404,0.964415,0.973275,2.415000,3.000000,-0.000000,1.343011
0.010000,0.104981,0.988066,0.997575,2.445000,3.000000,0.000000,1.335393
0.010000,0.110812,1.011965,1.022175,2.475000,3.000000,-0.000000,1.327565
0.010000,0.116906,1.036108,1.047075,2.505000,3.000000,0.000000,1.319522
0.010000,0.123272,1.060490,1.072275,2.535000,3.000000,0.000000,1.311259
0.010000,0.129921,1.085108,1.097775,2.565000,3.000000,0.000000,1.302770
0.010000,0.136861,1.109957,1.123575,2.595000,3.000000,-0.000000,1.294050
